verdaxis-backend  | INFO:     62.195.105.213:56862 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56863 - "OPTIONS /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56865 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:56864 - "OPTIONS /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56862 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56866 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:56865 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56866 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56867 - "OPTIONS /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56869 - "OPTIONS /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56865 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56862 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56866 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56870 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56862 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56866 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:56871 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     66.132.153.131:1256 - "GET / HTTP/1.1" 200 OK
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     66.132.153.131:32150 - "GET / HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     66.132.153.131:32152 - "PRI %2A HTTP/2.0" 404 Not Found
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     66.132.153.131:32158 - "GET /favicon.ico HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     66.132.153.131:4716 - "GET / HTTP/1.1" 200 OK
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     66.132.153.131:26682 - "GET /sitemap.xml HTTP/1.1" 404 Not Found
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     164.92.174.223:30616 - "GET /solr/admin/info/system HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     164.92.161.240:12202 - "GET /v2/_catalog HTTP/1.1" 404 Not Found
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     167.71.34.54:44374 - "GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     164.92.174.223:30630 - "GET /solr/admin/cores?action=STATUS&wt=json HTTP/1.1" 404 Not Found
verdaxis-backend  | WARNING:  Invalid HTTP request received.
verdaxis-backend  | INFO:     64.226.84.104:26192 - "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 Not Found
